Номер позиции	Условное обозначение изделия	Обозначение документа на поставку	Отличительный знак	Предприятие изготовитель/калькодерж.	Тип корпуса	Напряжение питания, В	Ток потребления, не более, мА	Рабочая температура, °С	Технология	Описание
7	Б1564ИР9-4	бК0.347.479-20ТУ		23 / 23	БЕСКОРП.	2 ÷ 6	0.08	-60 ÷ +85	КМОП	8-РАЗРЯДНЫЙ РЕГИСТР СДВИГА С ПАРАЛЛЕЛЬНО-ПОСЛЕДОВАТЕЛЬНЫМ ВВОДОМ ИНФОРМАЦИИ
8	Б1564КП12-4	бК0.347.479-03ТУ		23 / 23	БЕСКОРП.	2 ÷ 6	0.16	-60 ÷ +85	КМОП	2-РАЗРЯДНЫЙ 4-КАНАЛЬНЫЙ КОММУТАТОР С ТРЕМЯ УСТОЙЧИВЫМИ СОСТОЯНИЯМИ
9	Б1564КП13-4	бК0.347.479-16ТУ		23 / 23	БЕСКОРП.	2 ÷ 6	0.08	-60 ÷ +85	КМОП	ЧЕТЫРЕ 2-ВХОДОВЫХ МУЛЬТИПЛЕКСОРА С ЗАПОМИНАНИЕМ
10	Б1564КП15-4	бК0.347.479-03ТУ		23 / 23	БЕСКОРП.	2 ÷ 6	0.16	-60 ÷ +85	КМОП	8-ВХОДОВЫЙ СЕЛЕКТОР-МУЛЬТИПЛЕКСОР С ТРЕМЯ УСТОЙЧИВЫМИ СОСТОЯНИЯМИ
11	Б1564КП2-4	бК0.347.479-16ТУ		23 / 23	БЕСКОРП.	2 ÷ 6	0.08	-60 ÷ +85	КМОП	СДВОЕННЫЙ ЦИФРОВОЙ СЕЛЕКТОР-МУЛЬТИПЛЕКСОР 4-1
12	Б1564ЛА1-4	бК0.347.479-01ТУ		23 / 23	БЕСКОРП.	2 ÷ 6	0.04	-60 ÷ +85	КМОП	ДВА ЛОГИЧЕСКИХ ЭЛЕМЕНТА "4И-НЕ"
13	Б1564ЛА3-4	бК0.347.479-01ТУ		23 / 23	БЕСКОРП.	2 ÷ 6	0.04	-60 ÷ +85	КМОП	ЧЕТЫРЕ ЛОГИЧЕСКИХ ЭЛЕМЕНТА "2И-НЕ"
14	Б1564ЛН7-4	бК0.347.479-17ТУ		23 / 23	БЕСКОРП.	2 ÷ 6	0.08	-60 ÷ +85	КМОП	ШЕСТЬ БУФЕРОВ С ИНВЕРСИЕЙ И ТРЕМЯ СОСТОЯНИЯМИ НА ВЫХОДЕ
15	Б1564ТМ2-4	бК0.347.479-02ТУ		23 / 23	БЕСКОРП.	2 ÷ 6	0.08	-60 ÷ +85	КМОП	ДВА ТРИГГЕРА ТИПА D
1.1.83 Серия ОСМ 1564									
